,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2016,60.9075813293,SE.PRM.CUAT.MA.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
1,2017,61.7963485718,SE.PRM.CUAT.MA.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
2,2018,62.4882888794,SE.PRM.CUAT.MA.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
3,2019,64.9122085571,SE.PRM.CUAT.MA.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
4,2020,66.9104690552,SE.PRM.CUAT.MA.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
5,2017,37.286239624,SE.PRM.CUAT.MA.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
6,2016,62.5163002014,SE.PRM.CUAT.MA.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
7,2017,60.4323997498,SE.PRM.CUAT.MA.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
8,2018,47.2339706421,SE.PRM.CUAT.MA.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
9,2019,55.1207389832,SE.PRM.CUAT.MA.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
10,2016,98.8551330566,SE.PRM.CUAT.MA.ZS,USA,United States,North America,High income,Not classified
11,2018,99.0813293457,SE.PRM.CUAT.MA.ZS,USA,United States,North America,High income,Not classified
12,2020,99.020942688,SE.PRM.CUAT.MA.ZS,USA,United States,North America,High income,Not classified
13,2016,35383028.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
14,2017,36296111.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
15,2018,37171922.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
16,2019,38041757.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
17,2020,38928341.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
18,2016,157977151.0,SP.POP.TOTL,BGD,Bangladesh,South Asia,Lower middle income,IDA
19,2017,159685421.0,SP.POP.TOTL,BGD,Bangladesh,South Asia,Lower middle income,IDA
20,2018,161376713.0,SP.POP.TOTL,BGD,Bangladesh,South Asia,Lower middle income,IDA
21,2019,163046173.0,SP.POP.TOTL,BGD,Bangladesh,South Asia,Lower middle income,IDA
22,2020,164689383.0,SP.POP.TOTL,BGD,Bangladesh,South Asia,Lower middle income,IDA
23,2016,64554.0,SP.POP.TOTL,BMU,Bermuda,North America,High income,Not classified
24,2017,63873.0,SP.POP.TOTL,BMU,Bermuda,North America,High income,Not classified
25,2018,63919.0,SP.POP.TOTL,BMU,Bermuda,North America,High income,Not classified
26,2019,63913.0,SP.POP.TOTL,BMU,Bermuda,North America,High income,Not classified
27,2020,63903.0,SP.POP.TOTL,BMU,Bermuda,North America,High income,Not classified
28,2016,736706.0,SP.POP.TOTL,BTN,Bhutan,South Asia,Lower middle income,IDA
29,2017,745563.0,SP.POP.TOTL,BTN,Bhutan,South Asia,Lower middle income,IDA
30,2018,754396.0,SP.POP.TOTL,BTN,Bhutan,South Asia,Lower middle income,IDA
31,2019,763094.0,SP.POP.TOTL,BTN,Bhutan,South Asia,Lower middle income,IDA
32,2020,771612.0,SP.POP.TOTL,BTN,Bhutan,South Asia,Lower middle income,IDA
33,2016,36109487.0,SP.POP.TOTL,CAN,Canada,North America,High income,Not classified
34,2017,36545295.0,SP.POP.TOTL,CAN,Canada,North America,High income,Not classified
35,2018,37065178.0,SP.POP.TOTL,CAN,Canada,North America,High income,Not classified
36,2019,37593384.0,SP.POP.TOTL,CAN,Canada,North America,High income,Not classified
37,2020,38005238.0,SP.POP.TOTL,CAN,Canada,North America,High income,Not classified
38,2016,1324517250.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
39,2017,1338676779.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
40,2018,1352642283.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
41,2019,1366417756.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
42,2020,1380004385.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
43,2016,475505.0,SP.POP.TOTL,MDV,Maldives,South Asia,Upper middle income,IDA
44,2017,496398.0,SP.POP.TOTL,MDV,Maldives,South Asia,Upper middle income,IDA
45,2018,515704.0,SP.POP.TOTL,MDV,Maldives,South Asia,Upper middle income,IDA
46,2019,530957.0,SP.POP.TOTL,MDV,Maldives,South Asia,Upper middle income,IDA
47,2020,540542.0,SP.POP.TOTL,MDV,Maldives,South Asia,Upper middle income,IDA
48,2016,27263430.0,SP.POP.TOTL,NPL,Nepal,South Asia,Lower middle income,IDA
49,2017,27632682.0,SP.POP.TOTL,NPL,Nepal,South Asia,Lower middle income,IDA
50,2018,28095712.0,SP.POP.TOTL,NPL,Nepal,South Asia,Lower middle income,IDA
51,2019,28608715.0,SP.POP.TOTL,NPL,Nepal,South Asia,Lower middle income,IDA
52,2020,29136808.0,SP.POP.TOTL,NPL,Nepal,South Asia,Lower middle income,IDA
53,2016,203631356.0,SP.POP.TOTL,PAK,Pakistan,South Asia,Lower middle income,Blend
54,2017,207906210.0,SP.POP.TOTL,PAK,Pakistan,South Asia,Lower middle income,Blend
55,2018,212228288.0,SP.POP.TOTL,PAK,Pakistan,South Asia,Lower middle income,Blend
56,2019,216565317.0,SP.POP.TOTL,PAK,Pakistan,South Asia,Lower middle income,Blend
57,2020,220892331.0,SP.POP.TOTL,PAK,Pakistan,South Asia,Lower middle income,Blend
58,2016,21203000.0,SP.POP.TOTL,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
59,2017,21444000.0,SP.POP.TOTL,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
60,2018,21670000.0,SP.POP.TOTL,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
61,2019,21803000.0,SP.POP.TOTL,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
62,2020,21919000.0,SP.POP.TOTL,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
63,2016,323071755.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
64,2017,325122128.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
65,2018,326838199.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
66,2019,328329953.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
67,2020,329484123.0,SP.POP.TOTL,USA,United States,North America,High income,Not classified
68,2016,2473.0,IC.WEF.LLCD.MA,AFG,Afghanistan,South Asia,Low income,IDA
69,2017,2677.0,IC.WEF.LLCD.MA,AFG,Afghanistan,South Asia,Low income,IDA
70,2018,5057.0,IC.WEF.LLCD.MA,AFG,Afghanistan,South Asia,Low income,IDA
71,2016,123.0,IC.WEF.LLCD.MA,BTN,Bhutan,South Asia,Lower middle income,IDA
72,2017,168.0,IC.WEF.LLCD.MA,BTN,Bhutan,South Asia,Lower middle income,IDA
73,2018,127.0,IC.WEF.LLCD.MA,BTN,Bhutan,South Asia,Lower middle income,IDA
74,2016,4366.0,IC.WEF.LLCD.MA,NPL,Nepal,South Asia,Lower middle income,IDA
75,2017,4850.0,IC.WEF.LLCD.MA,NPL,Nepal,South Asia,Lower middle income,IDA
76,2018,6086.0,IC.WEF.LLCD.MA,NPL,Nepal,South Asia,Lower middle income,IDA
77,2016,13839.0,IC.WEF.LLCD.MA,PAK,Pakistan,South Asia,Lower middle income,Blend
78,2017,18613.0,IC.WEF.LLCD.MA,PAK,Pakistan,South Asia,Lower middle income,Blend
79,2018,23572.0,IC.WEF.LLCD.MA,PAK,Pakistan,South Asia,Lower middle income,Blend
